ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Tom Steyer,10/4/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,5966
Bernie Sanders,10/5/2019 0:00,$0.07 ,$0.09 ,$0.07 ,$0.09 ,10413
Cory Booker,10/5/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.02 ,4914
Harris,10/5/2019 0:00,$0.04 ,$0.06 ,$0.04 ,$0.05 ,4549
Gillibrand,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,3
Joe Biden,10/5/2019 0:00,$0.21 ,$0.22 ,$0.20 ,$0.20 ,12580
Elizabeth Warren,10/5/2019 0:00,$0.52 ,$0.52 ,$0.50 ,$0.51 ,8550
Cuomo,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/5/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,3905
Johnson,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,11007
Clinton,10/5/2019 0:00,$0.07 ,$0.08 ,$0.06 ,$0.06 ,11807
S. Brown,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/5/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.01 ,38148
Andrew Yang,10/5/2019 0:00,$0.11 ,$0.12 ,$0.10 ,$0.11 ,17339
Pete Buttigieg,10/5/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.08 ,5198
Castro,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1000
Gabbard,10/5/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.03 ,11705
Hickenlooper,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,5
Bennet,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,150
Williamson,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,10
Ryan,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/5/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/5/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,3460
Bernie Sanders,10/6/2019 0:00,$0.09 ,$0.09 ,$0.07 ,$0.09 ,12156
Cory Booker,10/6/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,8150
Harris,10/6/2019 0:00,$0.05 ,$0.06 ,$0.04 ,$0.05 ,11219
Gillibrand,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/6/2019 0:00,$0.20 ,$0.22 ,$0.20 ,$0.22 ,18197
Elizabeth Warren,10/6/2019 0:00,$0.51 ,$0.52 ,$0.50 ,$0.51 ,12848
Cuomo,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/6/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,32093
Johnson,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1919
Clinton,10/6/2019 0:00,$0.06 ,$0.07 ,$0.06 ,$0.07 ,5826
S. Brown,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/6/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,8357
Andrew Yang,10/6/2019 0:00,$0.11 ,$0.12 ,$0.10 ,$0.11 ,12669
Pete Buttigieg,10/6/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.07 ,7953
Castro,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1000
Gabbard,10/6/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.04 ,6427
Hickenlooper,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1000
Bennet,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/6/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/6/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,3853
Bernie Sanders,10/7/2019 0:00,$0.09 ,$0.09 ,$0.07 ,$0.08 ,12970
Cory Booker,10/7/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,14360
Harris,10/7/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,14855
Gillibrand,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/7/2019 0:00,$0.22 ,$0.23 ,$0.21 ,$0.22 ,22446
Elizabeth Warren,10/7/2019 0:00,$0.51 ,$0.51 ,$0.46 ,$0.47 ,36301
Cuomo,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/7/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,2862
Johnson,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,7470
Clinton,10/7/2019 0:00,$0.07 ,$0.14 ,$0.06 ,$0.11 ,85269
S. Brown,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/7/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,54978
Andrew Yang,10/7/2019 0:00,$0.11 ,$0.12 ,$0.10 ,$0.10 ,13755
Pete Buttigieg,10/7/2019 0:00,$0.07 ,$0.09 ,$0.07 ,$0.09 ,13254
Castro,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,500
Gabbard,10/7/2019 0:00,$0.04 ,$0.04 ,$0.02 ,$0.03 ,35738
Hickenlooper,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bennet,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Williamson,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/7/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/7/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.03 ,42160
Bernie Sanders,10/8/2019 0:00,$0.08 ,$0.09 ,$0.07 ,$0.07 ,42178
Cory Booker,10/8/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,9193
Harris,10/8/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,12558
Gillibrand,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,925
Joe Biden,10/8/2019 0:00,$0.22 ,$0.23 ,$0.21 ,$0.21 ,29967
Elizabeth Warren,10/8/2019 0:00,$0.47 ,$0.48 ,$0.46 ,$0.47 ,22757
Cuomo,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/8/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,7922
Johnson,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,19
Brown,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,50894
O'Rourke,10/8/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,7303
Clinton,10/8/2019 0:00,$0.11 ,$0.14 ,$0.09 ,$0.11 ,115100
S. Brown,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,912
Michael Bloomberg,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,23563
Andrew Yang,10/8/2019 0:00,$0.10 ,$0.12 ,$0.10 ,$0.11 ,32686
Pete Buttigieg,10/8/2019 0:00,$0.09 ,$0.09 ,$0.07 ,$0.08 ,30918
Castro,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1003
Gabbard,10/8/2019 0:00,$0.03 ,$0.04 ,$0.02 ,$0.03 ,14285
Hickenlooper,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Bullock,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,20
Bennet,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,76
Williamson,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Ryan,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/8/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/8/2019 0:00,$0.03 ,$0.03 ,$0.02 ,$0.02 ,14706
Bernie Sanders,10/9/2019 0:00,$0.07 ,$0.09 ,$0.07 ,$0.08 ,12947
Cory Booker,10/9/2019 0:00,$0.01 ,$0.03 ,$0.01 ,$0.01 ,25779
Harris,10/9/2019 0:00,$0.05 ,$0.06 ,$0.05 ,$0.05 ,23959
Gillibrand,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,125
Joe Biden,10/9/2019 0:00,$0.21 ,$0.23 ,$0.21 ,$0.21 ,18829
Elizabeth Warren,10/9/2019 0:00,$0.47 ,$0.48 ,$0.46 ,$0.48 ,14791
Cuomo,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/9/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,7834
Johnson,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,24
O'Rourke,10/9/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,14950
Clinton,10/9/2019 0:00,$0.11 ,$0.12 ,$0.09 ,$0.11 ,52511
S. Brown,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,3315
Andrew Yang,10/9/2019 0:00,$0.11 ,$0.12 ,$0.10 ,$0.12 ,17447
Pete Buttigieg,10/9/2019 0:00,$0.08 ,$0.09 ,$0.08 ,$0.08 ,8769
Castro,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Gabbard,10/9/2019 0:00,$0.03 ,$0.04 ,$0.03 ,$0.04 ,18226
Hickenlooper,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Inslee,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Bullock,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1300
Bennet,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,5150
Williamson,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,56
Ryan,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Swalwell,10/9/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/9/2019 0:00,$0.02 ,$0.03 ,$0.02 ,$0.03 ,32598
Bernie Sanders,10/10/2019 0:00,$0.08 ,$0.09 ,$0.08 ,$0.08 ,13695
