,Intercept,Date,Trends,Joe Biden,Elizabeth Warren,Bernie Sanders,Pete Buttigieg,Amy Klobuchar,Andrew Yang,Cory Booker,Tom Steyer,Michael Bloomberg,Price,y,predicted
52,1,0.07500000000000001,0.1789887187751813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-0.02173913043478251,-0.04181621400084726
53,1,0.5875,0.16920915295062222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.42,0.13636363636363635,0.046194835887052824
54,1,0.9,0.02368526696105981,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26,-0.07142857142857129,0.03140594088635776
55,1,0.07500000000000001,0.025415249149489696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.046935226315336476
56,1,0.125,0.7250509164969451,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18000000000000002,0.0,-0.039825760344730204
57,1,0.75,0.06423123243677238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.38,0.05000000000000005,0.0463346953225372
58,1,0.11250000000000002,0.0040326645831233,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.3333333333333333,0.04479277776808387
59,1,0.21250000000000002,0.04937775993576877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2727272727272728,0.018312835074854143
60,1,0.6875,0.001400840504302582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05374176749535809
61,1,0.6125,0.011657119887448494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09299897377669711
62,1,0.8250000000000001,0.06618778860954336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599999999999999,0.06896551724137917,0.04875285386142932
63,1,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.039999999999999994,0.0,0.03925616487310371
64,1,0.375,0.04463827603899435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.027325652286756395
65,1,0.21250000000000002,0.0034020412247348416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.05452163102931198
66,1,0.925,0.01248992747784045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,-0.12079891241149698
67,1,0.8375,0.01629327902240326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14,0.12499999999999993,-0.006746895378338093
68,1,0.6125,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.3333333333333333,0.060978604134824234
69,1,0.8,0.016332291561649358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.1052631578947368,0.06771674055332136
70,1,0.7000000000000001,0.027635413526278758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09342865618803128
71,1,0.3875,0.10273972602739727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,-0.12499999999999993,-0.07774148973267939
72,1,0.5625,0.13378161380971496,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.42,0.18181818181818185,0.047879524643896665
73,1,0.11250000000000002,0.01588594704684318,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18000000000000002,-0.09999999999999996,-0.00398950261405271
74,1,0.1625,0.019194050849160885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,-0.0923909932213083
75,1,0.525,0.0009005403241945168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.3333333333333333,0.056001691319765214
76,1,0.6375000000000001,0.0039023414048429063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.056337017963193535
77,1,0.5875,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.4166666666666666,0.06676631949868103
78,1,0.7125,0.2898922524371473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.031067257531978684
79,1,0.5125000000000001,0.00040024014408645203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05303446915494111
80,1,0.17500000000000002,0.016179278464475932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,-0.4999999999999999,-0.09218427903822513
81,1,0.08750000000000002,0.01588594704684318,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18000000000000002,-0.09999999999999996,-0.004097779485435903
82,1,0.5,0.0006003602161296777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,-1.0,0.05297020276739644
83,1,0.5750000000000001,0.689813888333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.3333333333333333,0.02135277080834195
84,1,0.5375000000000001,0.008206565252201762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1079035393480737
85,1,0.3875,0.004802881729037424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.055208673466022824
86,1,0.28750000000000003,0.002923681822764394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.04560684079260818
87,1,0.02500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03213417363466665
88,1,0.65,0.051672038678485084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,-0.3529411764705882,-0.11809613295428308
89,1,0.55,0.01631305044035228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.10825966506452309
90,1,0.6125,0.09920354874483314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12499999999999993,0.05389539062618726
91,1,0.30000000000000004,0.001915515676983568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.04571200188724704
92,1,0.8875000000000001,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,-0.12499999999999993,0.055790750953497774
93,1,0.525,0.024901703800786372,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.05139998432322865
94,1,0.48750000000000004,0.020473705339221198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.15789473684210525,0.04447392568013234
95,1,0.0625,0.0040326645831233,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.12499999999999993,0.03282260959025674
96,1,1.0,0.02368526696105981,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26,0.07142857142857148,0.03183904837189051
97,1,0.36250000000000004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.2500000000000001,0.0424060612870943
98,1,0.525,0.040692989524576964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,-0.08000000000000007,-0.0945746456208049
99,1,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.0931128138841071
100,1,0.875,0.0006003602161296777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06,0.2500000000000001,0.06047116305567467
101,1,0.8875000000000001,0.030477167778347868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.03333333333333337,0.05376924186441496
102,1,0.65,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-0.09090909090909087,0.06284855649575212
103,1,0.9125000000000001,0.01334805299076676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,0.03492164287332836
104,1,0.6125,0.05560032232070911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,-0.04347826086956513,-0.10082693459033217
105,1,0.325,0.025141097998973842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.04347826086956525,0.03103424215561402
106,1,0.1625,0.036764705882352935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,-0.06976744186046517,-0.043054587316522355
107,1,0.7625000000000001,0.03319755600814664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12000000000000001,0.0,-0.010865644501255337
